Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,ZipCode
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,"$15,000-$24,999",Household Income,126,57,73101
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,"$15,000-$24,999",Household Income,125,50,73102
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,"$15,000-$24,999",Household Income,148,35,73113
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,"$15,000-$24,999",Household Income,145,89,73123
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,"$15,000-$24,999",Household Income,159,42,73124
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,"$15,000-$24,999",Household Income,113,38,73125
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,"$15,000-$24,999",Household Income,110,92,73126
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,"$15,000-$24,999",Household Income,121,62,73136
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,"$15,000-$24,999",Household Income,140,29,73140
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,"$15,000-$24,999",Household Income,181,86,73143
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,"$15,000-$24,999",Household Income,124,59,73144
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,"$15,000-$24,999",Household Income,163,97,73146
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,"$15,000-$24,999",Household Income,113,59,73147
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,"$15,000-$24,999",Household Income,148,26,73148
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,"$15,000-$24,999",Household Income,113,57,73152
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,"$15,000-$24,999",Household Income,166,137,73153
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,"$15,000-$24,999",Household Income,100,68,73154
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,"$15,000-$24,999",Household Income,128,88,73155
Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,"$15,000-$24,999",Household Income,101,26,73156
